m,k,n
2048,6400,3200
2048,204825600,25600
2048,12800,12800
2048,160,160
2048,64003200,3200
2048,3200,3200
20482048,12800,12800
2048,2048,6400
2048,3200,320025600
2048,51200,51200
20482048,3200,3200
2048,25600,25600
2048,102400,102400
2048,25600,2560025600
2048,160,12800
2048,25600,51200
2048,1280025600,25600
2048,12800,25600
2048,2048,204825600
20482048,25600,25600
2048,2048,160
2048,25600,160
2048,3200,32002048
2048,25600,25600160
2048,1600,1600
2048,2048,2048
2048,25600,2048
2048,160,25600
2048,800,800
2048,2560012800,12800
2048,25600,12800
2048,2048,12800
2048,6400,6400
2048,160,2048
2048,51200,25600
20482048,6400,6400
20482048,2048,2048
2048,25600,6400
2048,2560025600,25600
2048,20486400,6400
2048,2048160,160
2048,2048,25600
2048,640025600,25600
2048,20482048,2048
2048,25600160,160
2048,2560051200,51200
2048,6400,640025600
2048,1600,25600
2048,12800,160
20482048,160,160
2048,16025600,25600
2048,2048,20482048
2048,2048,204812800
2048,256003200,3200
2048,3200,160
2048,160,16025600
20482048,51200,51200
2048,256006400,6400
2048,1606400,6400
2048,25600,2560012800
